Date,Coef_Nas,Coef_usd,Coef_breakeven
2020-01-08,0.24808008489022382,0.05791360655735683,-0.3230064364963293
2020-01-09,-0.43048912950359053,0.15993373974071518,-0.4370210105278141
2020-01-10,-0.9344987638338353,0.3834935159946987,0.16672372420883513
2020-01-13,-0.1643278434147099,-0.056122454999883026,0.18688125371564315
2020-01-14,-0.40835910088833105,0.6553103206819305,0.546849267393587
2020-01-15,0.17269196651231603,-0.8198859886887653,0.10830941043546496
2020-01-16,0.29719919190547084,-0.5184947762060567,-0.035509563029857055
2020-01-17,-2.1915492978939466,1.1492253960306795,-0.6839278372560421
2020-01-21,-0.20431891339515088,0.16212961214348803,0.002398259266968641
2020-01-22,-0.18213751895913197,0.15246963519846196,0.0874615395142157
2020-01-23,5.55902106471616,-1.6266461238255074,0.9257269895355765
2020-01-24,-0.2055519477251746,0.033706810038204124,0.12491744739583592
2020-01-27,-0.3748369169395803,-0.3400134171402032,-0.0327332944202189
2020-01-28,-0.16314429259786872,0.3541084904750452,0.06404989978566702
2020-01-29,0.6928244548535851,0.373531499782641,-0.3592432500853504
2020-01-30,0.5737812263334706,0.708761925564031,-0.29082359602251423
2020-01-31,0.2660689941056056,-0.06545184137791743,0.15938901929939267
2020-02-03,0.2190274399070005,-0.054492381648150984,0.10781169744664626
2020-02-04,-0.045983027277614524,0.016678775637331854,0.04014603528499304
2020-02-05,-0.21316250197184095,0.2036033808728337,0.1541170192432681
2020-02-06,-0.19745365564263634,0.17944353063152613,0.16741443827425673
2020-02-07,-0.20475623378812488,0.14406668942184986,0.2153165440482449
2020-02-10,-0.08526430334510557,0.1566126319814689,0.1531038488149713
2020-02-11,0.2555707004309558,0.015622595851760124,-0.28124451569636527
2020-02-12,0.353133947630922,-0.013458553588910908,-0.2630744629784921
2020-02-13,0.1646400870872312,0.22477398303520071,-0.3446178405413963
2020-02-14,1.5617044935988391,-0.6156504292365876,-0.024252218309743202
2020-02-18,0.5842158867713898,-0.16519216629172453,-0.08340075726915483
2020-02-19,-0.5855120728623122,-0.2014082675445969,-0.2830047514819384
2020-02-20,-0.13813628909053632,-0.38750347554235326,-0.2886986802840241
2020-02-21,-0.7574639604158211,0.06918598955092503,0.5347210705807454
2020-02-24,-0.15147237186721074,-0.09576321985036519,0.25737966666241746
2020-02-25,-0.06842210596339282,-0.036041573978891114,0.11662976081418196
2020-02-26,-0.014160641773974109,-0.09980965405752437,0.16682866317403408
2020-02-27,0.02075707632240596,0.11837051914575492,0.08050130581143451
2020-02-28,0.5157144747212465,-0.62423725896166,0.15480208538794854
2020-03-02,0.0896976820977632,0.010079290253648978,0.014013754647277086
2020-03-03,0.036038425969937116,-0.017277938964280447,0.014251282447808943
2020-03-04,0.008908973430513082,-0.013637744441185456,0.008281117589962667
2020-03-05,0.009545447006646132,-0.0652853714352053,-0.05533176026022386
2020-03-06,-0.010074713985449452,-0.01033435858406414,-0.03313653544884076
2020-03-09,0.048898629703766246,-0.26489488015139906,0.11429569111617806
2020-03-10,0.09018817024898179,-0.09287460272375855,0.04480155799759236
2020-03-11,-0.025425142524144913,-0.006805005112028022,0.05581379950694064
2020-03-12,0.3467003730486377,-0.10277971853718101,0.012126694547972201
2020-03-13,0.3358882589486261,-0.1679450251628638,-0.05644705898539155
2020-03-16,0.3336812883585308,-0.23434909865412645,-0.08693483495855428
2020-03-17,0.41016968579868357,-0.26616668153910633,-0.1163247642364539
2020-03-18,0.09587085819652288,0.01177540086096902,-0.0018198578919656643
2020-03-19,0.10006632357119127,0.044821279977504916,-0.005107455817466355
2020-03-20,0.011774576743661589,0.06261284701379752,0.005978459069054005
2020-03-23,-0.03617499957460166,0.08403961364238559,0.013013237710255393
2020-03-24,0.04652196618346631,0.12375028108332634,0.03671378008588269
2020-03-25,-0.0035749873314463295,-0.04453857321398623,0.008317248429466453
2020-03-26,-0.011608939729053261,0.0061467365449945684,0.029144504602046446
2020-03-27,0.06910992712656605,0.018258837303449255,0.008001557181017261
2020-03-30,0.004366558406545701,0.015242624917319602,0.018477658835545425
2020-03-31,0.0033531063563599453,0.0022595512932397123,0.023776215696238882
2020-04-01,-0.040964241007894864,0.027055209475896763,0.022520107720203686
2020-04-02,-0.04802555909682099,0.030802059406119076,0.017906537631078332
2020-04-03,0.04931168316016111,0.12068614884370057,-0.027131334295879456
2020-04-06,0.23796306363121758,0.4171466879288446,-0.14776705615627933
2020-04-07,0.15694609466327542,0.022502699700663122,-0.0045263221467949895
2020-04-08,0.14563658978065433,0.0296323653887148,0.0003678781899921482
2020-04-09,0.22082056694477376,-0.01858933560249617,-0.06560439818461575
2020-04-13,1.0932630766109346,-0.5092012036482061,-0.7416081132705185
2020-04-14,0.02357981364263845,0.07411904150930254,-0.0272683935158578
2020-04-15,-0.09668250436777946,0.1204707879392172,0.06327042862637541
2020-04-16,-1.1120067761233985,-2.1324013852744845,-0.6769204305272807
2020-04-17,-0.03205579386041096,-0.07000634830903375,-0.03756136697422082
2020-04-20,0.353925936467547,0.09192701776134347,0.01695099725453139
2020-04-21,0.19913676753723525,0.19817593927360094,0.016866434514885127
2020-04-22,-0.0012629570103802603,-0.0460629275368505,0.044334656465678676
2020-04-23,0.07043249662684128,0.06735053082322981,0.04214764093143393
2020-04-24,0.29011072147987876,0.4250575130642693,-0.028660030828332662
2020-04-27,-0.2909403003940719,0.0587874871699149,0.1409124165428519
2020-04-28,-0.8448240935324827,0.2619800619728692,0.31299825607111875
2020-04-29,0.31618914888404526,-0.2293602696469268,-0.0694512173432422
